clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
Celtic F.C.,United Kingdom,Scottish Premiership,Celtic Park,Point(-4.2013 55.8499),https://www.celticfc.com/japanese-section
Leyton Orient F.C.,United Kingdom,EFL League Two,Brisbane Road,Point(-0.012639 51.560139),https://www.leytonorient.com/
Rangers F.C.,United Kingdom,Scottish Premiership,Ibrox Stadium,Point(-4.309166666 55.853055555),https://www.rangers.co.uk/
Notts County F.C.,United Kingdom,EFL League Two,Meadow Lane,Point(-1.137222 52.9425),https://www.nottscountyfc.co.uk/
Oldham Athletic A.F.C.,United Kingdom,National League,Boundary Park,Point(-2.128611111 53.555277777),https://www.oldhamathletic.co.uk/
FC Twente,Netherlands,Eredivisie,De Grolsch Veste,Point(6.8375 52.236666666),https://www.fctwente.nl/
Portsmouth F.C.,United Kingdom,EFL League One,Fratton Park,Point(-1.063888888 50.796388888),https://www.portsmouthfc.co.uk/
Sheffield United F.C.,United Kingdom,EFL Championship,Bramall Lane,Point(-1.470833333 53.370277777),https://www.sufc.co.uk/
Preston North End F.C.,United Kingdom,EFL Championship,Deepdale,Point(-2.688055555 53.772222222),https://www.pnefc.net/
Scunthorpe United F.C.,United Kingdom,EFL League One,Glanford Park,Point(-0.69525 53.586722),https://www.scunthorpe-united.co.uk/
Shrewsbury Town F.C.,United Kingdom,EFL League One,New Meadow,Point(-2.74933 52.68863),https://www.shrewsburytown.com/
Swindon Town F.C.,United Kingdom,EFL League Two,"County Ground, Swindon",Point(-1.770556 51.564444),https://www.swindontownfc.co.uk/
Tranmere Rovers F.C.,United Kingdom,EFL League One,Prenton Park,Point(-3.0325 53.373722),https://www.tranmererovers.co.uk/
Walsall F.C.,United Kingdom,EFL League One,Bescot Stadium,Point(-1.990706 52.565433),https://www.saddlers.co.uk/
Yeovil Town F.C.,United Kingdom,EFL League One,Huish Park,Point(-2.674881 50.950278),https://www.ytfc.net/
TSG 1899 Hoffenheim,Germany,Bundesliga,Prezero-Arena,Point(8.888278 49.239),https://www.achtzehn99.de/
Rakvere JK Tarvas,Estonia,Esiliiga,Rakvere Linnastaadion,Point(26.380833 59.359444),http://jktarvas.ee/
FC Utrecht,Netherlands,Eredivisie,Stadion Galgenwaard,Point(5.145833333 52.078333333),https://www.fcutrecht.nl/
VVV-Venlo,Netherlands,Eerste Divisie,De Koel,Point(6.179722 51.351944),https://www.vvv-venlo.nl/
RKC Waalwijk,Netherlands,Eredivisie,Mandemakers Stadion,Point(5.088611 51.686944),https://www.rkcwaalwijk.nl/
FC Groningen,Netherlands,Eredivisie,Euroborg,Point(6.591388888 53.206111111),https://www.fcgroningen.nl/
Roda JC Kerkrade,Netherlands,Eerste Divisie,Parkstad Limburg Stadion,Point(6.005833333 50.856944444),https://www.rodajckerkrade.nl/
ADO Den Haag,Netherlands,Eerste Divisie,Bingoal Stadion,Point(4.383056 52.062778),https://adodenhaag.nl/
FK Radnik Bijeljina,Bosnia and Herzegovina,First League of the Republika Srpska,Bijeljina City Stadium,Point(19.225 44.75444444),http://www.fkradnik.ba/
FC Kuban Krasnodar,Russia,Russian First League,Kuban Stadium,Point(38.999444444 45.025277777),https://www.fckuban.com/
FC Zenit Saint Petersburg,Russia,Russian Premier League,Gazprom Arena,Point(30.220533 59.972953),https://fc-zenit.ru/
Spartak Moscow,Russia,Russian Premier League,Otkrytie Bank Arena,Point(37.4403 55.8178),https://spartak.com/
FC Lokomotiv Moscow,Russia,Russian Premier League,RZD Arena,Point(37.741169 55.80355),https://www.fclm.ru
A.C.R. Messina,Italy,Serie C,Stadio San Filippo,Point(15.520833 38.161389),https://www.acrmessina1900.it/
Taranto Sport,Italy,Serie D,Stadio Erasmo Iacovone,Point(17.27 40.452778),https://www.tarantofootballclub.it/
NK Aluminij,Slovenia,Slovenian Second League,Kidričevo Sports Park,Point(15.7897 46.4078),http://www.nkaluminij.net/
NK Celje,Slovenia,Slovenian PrvaLiga,Stadion Z'dežele,Point(15.270278 46.246667),https://www.nk-celje.si/
Sepahan F.C.,Iran,Iran Pro League,Naghsh-e-Jahan Stadium,Point(51.686203 32.743267),https://sepahansc.ir/
Feralpisalò,Italy,Serie C,Stadio Lino Turina,Point(10.5128 45.6039),https://www.feralpisalo.it/
Feralpisalò,Italy,Serie C,Stadio Lino Turina,Point(10.51308333 45.60394444),https://www.feralpisalo.it/
