clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
Zulia FC,Venezuela,Venezuelan Primera División,Estadio José Pachencho Romero,Point(-71.645011 10.674114),https://zuliafc.org/
FC Baia Zugdidi,Georgia,Erovnuli Liga,Gulia Tutberidze Stadium,Point(41.87388889 42.50888889),http://fczugdidi.ge
FK Renova,North Macedonia,First Macedonian Football League,Gradski stadion Tetovo,Point(20.978179 42.018692),http://www.kfrenova.com/
D.C. United,United States of America,Major League Soccer,Audi Field,Point(-77.012935 38.868504),https://www.dcunited.com/
FK Hajduk Kula,Serbia,Serbian SuperLiga,Stadion Hajduk,Point(19.528203 45.609906),http://www.fkhajduk.rs/
Lorca Deportiva CF,Spain,Segunda División B,Estadio Francisco Artés Carrasco,Point(-1.735122 37.638817),http://www.sportcartagena.es/todofutbol.asp
Port Talbot Town F.C.,United Kingdom,Welsh Premier League,Victoria Road,Point(-3.80222 51.5903),http://www.porttalbottown.co.uk/
F.K. Sarajevo,Bosnia and Herzegovina,Premier League of Bosnia and Herzegovina,Asim Ferhatović Hase Stadium,Point(18.408611111 43.873888888),https://www.fksarajevo.ba/
FC Alania Vladikavkaz,Russia,Russian First League,Republican Spartak Stadium,Point(44.695 43.023056),http://fcalania.com/
FC Akhmat Grozny,Russia,Russian Premier League,Akhmat-Arena,Point(45.74525278 43.32317778),http://fc-akhmat.ru/
ASA 2013 Târgu Mureș,Romania,Liga II,Stadionul Trans-Sil,Point(24.545833 46.549722),http://www.asatirgumures.ro
AC Omonia,Cyprus,Cypriot First Division,GSP Stadium,Point(33.362864 35.114542),https://www.omonoiafc.com.cy/
Persepolis F.C.,Iran,Iran Pro League,Azadi Stadium,Point(51.275528 35.724417),http://fc-perspolis.com
Associação Académica de Coimbra – O.A.F.,Portugal,LigaPro,Estádio Cidade de Coimbra,Point(-8.407777777 40.203333333),http://www.academica-oaf.pt/
FC Pyunik,Armenia,Armenian Premier League,Football Academy Stadium (Yerevan),Point(44.55527778 40.22111111),https://fcpyunik.am/
Linfield F.C.,United Kingdom,NIFL Premiership,Windsor Park,Point(-5.955 54.5825),http://www.linfieldfc.com/
Újpest FC,Hungary,Nemzeti Bajnokság I,Ferenc Szusza Stadium,Point(19.08465 47.574892),http://ujpestfc.hu/
Sligo Rovers F.C.,Republic of Ireland,League of Ireland Premier Division,The Showgrounds,Point(-8.487233 54.270042),https://www.sligorovers.com/
RTS Widzew Łódź,Poland,Ekstraklasa,Stadion Widzewa,Point(19.511667 51.765),https://widzew.com/
FC Rapid București,Romania,Romanian SuperLiga,Stadionul Rapid-Giulești,Point(26.056805555 44.455888888),https://www.fcrapid.ro/
Kaizer Chiefs F.C.,South Africa,South African Premier Division,Soccer City Stadium,Point(27.982378 -26.234806),https://www.kaizerchiefs.com/
Milton Keynes Dons F.C.,United Kingdom,EFL League Two,Stadium MK,Point(-0.733333 52.009444),https://www.mkdons.com/
FK Čáslav,Czech Republic,Czech 2. Liga,Stadion pod Hrádkem,Point(15.3846 49.9098),http://www.fkcaslav.cz
C.D. Cuenca,Ecuador,Ecuador Serie A,Estadio Alejandro Serrano Aguilar,Point(-79.005489 -2.9072),http://www.clubdeportivocuenca.com
Barcelona S.C.,Ecuador,Ecuador Serie A,Estadio Monumental Banco Pichincha,Point(-79.924931 -2.185869),https://barcelonasc.com.ec/
S.D. Quito,Ecuador,Ecuador Serie A,Estadio Olímpico Atahualpa,Point(-78.476583 -0.177528),http://www.deportivoquito.com/
NK Croatia Sesvete,Croatia,Druga HNL,Stadion ŠRC Sesvete,Point(16.1075 45.8364),http://www.sesvetedanas.com/NKCroatia/index.html
Shanghai Shenxin F.C.,People's Republic of China,Chinese Super League,Yuanshen Sports Centre Stadium,Point(121.531683 31.233425),http://www.shenxinfc.sh.cn/
Glentoran F.C.,United Kingdom,NIFL Premiership,The Oval,Point(-5.891319 54.602964),https://www.glentoran.com/
Club Sport Emelec,Ecuador,Ecuador Serie A,Estadio George Capwell,Point(-79.893758 -2.206603),http://www.emelec.com.ec
Club Deportivo El Nacional,Ecuador,Ecuador Serie A,Estadio Olímpico Atahualpa,Point(-78.476583 -0.177528),http://www.elnacional.ec/
Liga Deportiva Universitaria de Quito,Ecuador,Ecuador Serie A,Estadio Rodrigo Paz Delgado,Point(-78.489083 -0.107694),https://www.ldu.com.ec/
Independiente del Valle,Ecuador,Ecuador Serie A,Estadio Rumiñahui,Point(-78.445 -0.329167),http://www.independientedelvalle.com/
Liga Deportiva Universitaria de Loja,Ecuador,Ecuador Serie A,Estadio Federativo Reina del Cisne,Point(-79.196536111 -4.001025),http://www.ligadeloja.com/
Nagoya Grampus,Japan,J1 League,Mizuho Athletic Stadium,Point(136.944301 35.122721),https://nagoya-grampus.jp/
Arema F.C.,Indonesia,Liga 1,Kanjuruhan Stadium,Point(112.573888888 -8.150277777),http://www.aremafc.com/
Buriram United F.C.,Thailand,Thai League 1,Chang Arena,Point(103.096111 14.966667),https://www.buriramunited.com
IFK Mariehamn,Finland,Veikkausliiga,Wiklöf Holding Arena,Point(19.935278 60.102222),http://www.ifkfotboll.ax/
Prestatyn Town F.C.,United Kingdom,Welsh Premier League,Bastion Road,Point(-3.4079 53.3405),http://www.ptfconline.co.uk
Oulun Palloseura,Finland,Ykkönen,Raatti Stadium,Point(25.465805555 65.019694444),http://www.ops.fi/
Ängelholms FF,Sweden,Superettan,Ängelholms IP,Point(12.856389 56.234444),http://www.angelholmsff.se/
Vasas SC,Hungary,Nemzeti Bajnokság I,Stadion Rudolf Illovszky,Point(19.080555555 47.536944444),http://www.vasasfc.hu/
Pordenone Calcio,Italy,Serie B,Stadio G. Teghil,Point(13.09953 45.675319),https://www.pordenonecalcio.com/
CS Grevenmacher,Luxembourg,Luxembourg National Division,Op Flohr Stadion,Point(6.448519 49.686868),https://www.csg.lu/
Gimnàstic de Tarragona,Spain,Segunda División B,Nou Estadi Costa Daurada,Point(1.272778 41.126944),http://www.gimnasticdetarragona.cat/
Ljungskile SK,Sweden,Superettan,Markbygg Arena,Point(11.94388889 58.21666667),http://www.lsk.se/
Hellerup IK,Denmark,Danish 2nd Division,Gentofte Stadion,Point(12.52722222 55.75805556),http://www.hik.dk
FC Kolkheti-1913 Poti,Georgia,Erovnuli Liga,Fazisi Stadium,Point(41.66555556 42.1425),https://poti.ge/
Sumgayit PFC,Azerbaijan,Azerbaijan Premier League,Mehdi Huseynzade Stadium,Point(49.674722 40.601389),http://sumqayitpfc.az/
Örebro SK,Sweden,Superettan,Behrn Arena,Point(15.22305556 59.26611111),https://www.oskfotboll.se
RCD Carabanchel,Spain,Tercera División,Q5745804,Point(-3.74625 40.3816),http://www.rcdcarabanchel.es/
FC Wacker Innsbruck,Austria,Austrian Football Second League,Tivoli Stadion Tirol,Point(11.410789 47.255972),https://www.fc-wacker-innsbruck.at/
Msida Saint-Joseph F.C.,Malta,Maltese Second Division,Ta' Qali National Stadium,Point(14.415372222 35.894863888),http://www.msidastjoseph.com/
Polonia Warsaw,Poland,I liga,Stadion Polonii Warszawa,Point(21.001322 52.255517),https://kspolonia.pl
SK Windhoek,Namibia,Namibia Premier League,Q1766062,Point(17.089523 -22.614268),http://www.skw.com.na
NK Široki Brijeg,Bosnia and Herzegovina,Premier League of Bosnia and Herzegovina,Stadion Pecara,Point(17.598 43.3787),http://www.nk-sirokibrijeg.com
SV Mattersburg,Austria,Austrian Bundesliga,Pappelstadion,Point(16.4064 47.7394),http://www.svm.at/
VfB Homberg,Germany,Oberliga Niederrhein,PCC-Stadion,Point(6.70109 51.4616),http://www.vfb-homberg.de
Kastamonuspor,Turkey,TFF Third League,Kastamonu Gazi Stadium,Point(33.767113 41.365504),http://www.kastamonuspor.org.tr/
Bangor City F.C.,United Kingdom,Welsh Premier League,Nantporth,Point(-4.150139 53.225453),http://www.pitchero.com/clubs/bangorcityfc
Entente SSG,France,Championnat National,Parc des Sports Michel Hidalgo,Point(2.2755 48.9747),http://www.entente-ssg.footeo.com
SSV Jahn Regensburg,Germany,3. Liga,Arena Regensburg,Point(12.1069 48.9909),http://www.ssv-jahn.de/index.php
Annan Athletic F.C.,United Kingdom,Scottish Football League Third Division,Galabank,Point(-3.26174 54.9938),http://www.annanathleticfc.com/
FC Memmingen,Germany,Regionalliga Bayern,Fußballarena Memmingen,Point(10.1661 47.9794),http://www.fc-memmingen.de
SSVg Velbert,Germany,Regionalliga West,Q2326144,Point(7.01857 51.3289),http://www.ssvg.de
SpVgg Erkenschwick,Germany,Oberliga Westfalen,Stimbergstadion,Point(7.25244444 51.64338889),http://www.spvgg-erkenschwick.de/
Heider SV,Germany,Oberliga Schleswig-Holstein,Q2326132,Point(9.08722 54.1897),http://www.heidersv.de
SC Idar-Oberstein,Germany,Fußball-Regionalliga Südwest,Stadion Im Haag,Point(7.29491 49.7352),http://www.sc07.de
Lichterfelder FC,Germany,NOFV-Oberliga,Stadion Lichterfelde,Point(13.324 52.4393),http://www.fv-wannsee.de
TSV Buchbach,Germany,Regionalliga Bayern,Q1758537,Point(12.2759 48.3149),http://www.tsv-buchbach.de/
VfL Halle 1896,Germany,NOFV-Oberliga,Stadion am Zoo,Point(7.105083 51.239083),http://www.vflhalle96.de
FC 08 Villingen,Germany,Oberliga Baden-Württemberg,Ebm-papst-Stadion,Point(8.42972 48.0561),http://www.fcvillingen.de
Bonner SC,Germany,Regionalliga West,Sportpark Nord,Point(7.0845 50.7481),https://www.bonner-sc.de
Paide Linnameeskond,Estonia,Meistriliiga,Paide linnastaadion,Point(25.54063 58.87845),https://www.paidelinnameeskond.ee/
Albion F.C.,Uruguay,Primera División Amateur de Uruguay,Estadio Gran Parque Central,Point(-56.159 -34.8845),https://albionfc.uy/
FC Zestafoni,Georgia,Erovnuli Liga,David Abashidze Stadium,Point(43.02568 42.111213),http://www.fczestafoni.ge/Eng/FcZestafoni.htm
FC Jūrmala,Latvia,Latvian Higher League,Sloka,Point(23.6101985 56.9495911),http://www.jurmalafc.lv/
KF Gjilani,Kosovo,Football Superleague of Kosovo,City Stadium,Point(21.464444 42.466667),http://www.fcgjilani.com/
Békéscsaba 1912 Előre SE,Hungary,Nemzeti Bajnokság III,Stadion Kórház utcai,Point(21.105 46.68611111),https://1912elore.hu/
Pittsburgh Riverhounds SC,United States of America,USL Championship,Highmark Stadium,Point(-80.009444 40.436111),https://www.riverhounds.com/
Sogndal Fotball,Norway,1. divisjon football (men),Fosshaugane Campus,Point(7.085238 61.231983),https://www.sogndalfotball.no/
Knattspyrnufélag Akureyrar,Iceland,Besta deild karla,Akureyrarvöllur,Point(-18.095211 65.686083),http://www.ka.is
SV Babelsberg 03,Germany,3. Liga,Karl-Liebknecht-Stadion,Point(13.094806 52.399083),http://www.babelsberg03.de/main.php
FK Dukla Banská Bystrica,Slovakia,Slovak First Football League,SNP Stadium,Point(19.131503 48.731947),https://mfkdukla.sk/
Unión San Felipe,Chile,Chilean First B Division,Estadio Municipal de San Felipe,Point(-70.73 -32.746944),http://www.usanfelipe.cl/
Alianza Lima,Peru,Peruvian Primera División,Alejandro Villanueva Stadium,Point(-77.022886 -12.068542),https://clubalianzalima.com.pe/
Beijing Sport University F.C.,People's Republic of China,China League One,National Olympic Sports Centre Stadium,Point(116.393056 39.982222),http://www.bgfc.com.cn/
Q573782,Germany,Landesliga Wuerttemberg,Q1558198,Point(9.89111 48.2265),http://www.fvolympia.de
San Jose Earthquakes,United States of America,Major League Soccer,Stevens Stadium,Point(-121.936667 37.350556),https://www.sjearthquakes.com
Albacete Balompié,Spain,Segunda División B,Estadio Carlos Belmonte,Point(-1.852142 38.981117),https://www.albacetebalompie.es/
Terrassa FC,Spain,Tercera División,Estadi Olímpic de Terrassa,Point(2.011142 41.576133),https://www.terrassafc.com/
Coronel Bolognesi,Peru,Copa Perú,Estadio Jorge Basadre,Point(-70.253056 -18.005),http://www.bolognesifc.com.pe
Sestao River Club,Spain,Segunda Federación,Las Llanas Municipal Stadium,Point(-3.00972 43.3106),http://www.sestaoriverclub.com/
Gor Mahia F.C.,Kenya,Kenyan Premier League,Nairobi City Stadium,Point(36.842222 -1.292222),http://www.gormahiafc.co.ke/
Port F.C.,Thailand,Thai League 2,PAT Stadium,Point(100.559717 13.71515),http://portfootballclub.com/
Port F.C.,Thailand,Thai League 1,PAT Stadium,Point(100.559717 13.71515),http://portfootballclub.com/
Universidad de Las Palmas CF,Spain,Segunda División B,Estadio Pepe Gonçalvez,Point(-15.438525 28.118125),http://www.coruxofc.com/
FC Hradec Králové,Czech Republic,Czech First League,Malšovická aréna,Point(15.8454 50.2064),https://www.fchk.cz/
Sofapaka F.C.,Kenya,Kenyan Premier League,Nyayo National Stadium,Point(36.824167 -1.303611),https://www.sofapakafc.co.ke/
Società Calcistica Gela,Italy,Prima Categoria,Stadio Vincenzo Presti,Point(14.258 37.0677),http://www.gelacalcio.it
Cultural y Deportiva Leonesa,Spain,Primera Federación,Estadio Reino de León,Point(-5.576699 42.587482),https://www.cydleonesa.com/
Sydney United FC,Australia,National Premier Leagues NSW,Sydney United Sports Centre,Point(150.874167 -33.875833),https://www.sydneyunited58fc.com/
FC Obolon Kyiv,Ukraine,Premier League,Obolon Arena,Point(30.5075 50.527055555),http://www.fc.obolon.ua/
PFC Velbazhd Kyustendil,Bulgaria,Bulgarian V AFG,Osogovo Stadium,Point(22.683055555 42.276111111),http://www.fcvelbajd.com/
FC Wohlen,Switzerland,Swiss Challenge League,Stadion Niedermatten,Point(8.264067 47.356997),http://www.fcwohlen.ch
C.R.D. Libolo,Angola,Girabola,Estádio Municipal de Calulo,Point(14.905107 -10.006633),http://www.recreativolibolo.ao
Danubio F.C.,Uruguay,Uruguayan Primera División,Jardines del Hipódromo Stadium,Point(-56.132281 -34.838719),http://www.danubio.org.uy/
Danubio F.C.,Uruguay,Segunda División Profesional,Jardines del Hipódromo Stadium,Point(-56.132281 -34.838719),http://www.danubio.org.uy/
FC Mika,Armenia,Armenian Premier League,Mika Stadium,Point(44.476449 40.149373),http://www.fcmika.am/
FCU Craiova 1948,Romania,Romanian SuperLiga,Stadionul Ion Oblemenco,Point(23.784167 44.313889),https://fcuniversitatea.ro/
ASPV Strasbourg,France,Championnat National 3,Stadium Emile-Stahl,Point(7.78004 48.57922),http://www.aspierrotsvauban.fr/
İstanbul Güngörenspor,Turkey,TFF Second League,Güngören M.Yahya Baş Stadium,Point(28.87981389 41.023775),http://www.gungorenbelediyespor.org.tr/
Donegal Celtic F.C.,United Kingdom,NIFL Premiership,Donegal Celtic Park,Point(-6.02365833 54.57369167),http://www.dc-fc.com/
CS Pandurii Târgu Jiu,Romania,Liga IV Gorj,Stadionul Tudor Vladimirescu,Point(23.270056 45.043639),http://www.panduriics.ro
Hokkaido Consadole Sapporo,Japan,J2 League,Sapporo Dome,Point(141.409767 43.015172),https://www.consadole-sapporo.jp/
Hokkaido Consadole Sapporo,Japan,J2 League,Sapporo Atsubetsu Park Stadium,Point(141.464016 43.019066),https://www.consadole-sapporo.jp/
Türkiyemspor Berlin,Germany,Berlin-Liga,Friedrich-Ludwig-Jahn-Sportpark,Point(13.405278 52.543056),http://www.tuerkiyemspor.info/
Forfar Athletic F.C.,United Kingdom,Scottish Football League Second Division,Station Park,Point(-2.885 56.6522),https://www.forfarathletic.co.uk/
Forfar Athletic F.C.,United Kingdom,Scottish Football League,Station Park,Point(-2.885 56.6522),https://www.forfarathletic.co.uk/
Forfar Athletic F.C.,United Kingdom,Eastern Football League,Station Park,Point(-2.885 56.6522),https://www.forfarathletic.co.uk/
FC Antibes,France,Ligue de la Méditerranée de football,Stade du Fort Carré,Point(7.12603 43.59221),http://www.fcantibes.fr
CS Constantine,Algeria,Algerian Ligue Professionnelle 1,Stade Mohamed Hamlaoui,Point(6.625833 36.349167),http://www.csconstantine.net/
FC Differdange 03,Luxembourg,Luxembourg National Division,Stade Municipal de la Ville de Differdange,Point(5.889775 49.513932),https://www.fcd03.lu/
FK Inđija,Serbia,Serbian First League,Inđija Stadium,Point(20.09 45.05),http://www.fkindjija.com/
Persija Jakarta,Indonesia,Liga 1,Gelora Bung Karno Stadium,Point(106.802511 -6.218578),https://persija.id/
Persija Jakarta,Indonesia,Liga 1,Patriot Chandrabhaga Stadium,Point(106.991897 -6.238358),https://persija.id/
SC Brühl,Switzerland,1. Liga Promotion,Paul-Grüninger-Stadion,Point(9.40576 47.4339),http://www.scbruehl.ch/
FC Hirnyk Kryvyi Rih,Ukraine,Ukrainian Second League,Metalurh Stadium,Point(33.392462 47.895118),http://fcgornyak.dp.ua/
FC Minsk,Belarus,Belarusian Premier League,FC Minsk Stadium,Point(27.57861111 53.86166667),http://www.fcminsk.by
Fagiano Okayama,Japan,J2 League,Kanko Stadium,Point(133.919494 34.680714),http://www.fagiano-okayama.com/
Rhyl F.C.,United Kingdom,Cymru Alliance,Belle Vue,Point(-3.47611 53.3189),http://www.rhylfc.co.uk/
Palamós CF,Spain,Tercera División,Estadi Palamós Costa Brava,Point(3.12138 41.853484),http://www.palamoscf.cat/
Daring Club Motema Pembe,Democratic Republic of the Congo,Linafoot,Stade des Martyrs,Point(15.31 -4.330417),http://www.imana-dcmp.com
FC Linz,Austria,Austrian Bundesliga,Linzer Stadion,Point(14.276389 48.293333),http://stahl-linz.at/
Oryx Douala,Cameroon,Elite One,Stade de la Réunification,Point(9.71861 4.05556),http://oryxclubdedouala.asso-web.com/
Botev Plovdiv,Bulgaria,First Professional Football League,Hristo Botev Stadium,Point(24.764444 42.139861),https://botevplovdiv.bg/
Valur,Iceland,Besta deild karla,Hlíðarendi,Point(-21.923611 64.132778),http://www.valur.is/
C.D. Luis Ángel Firpo,El Salvador,torneo apertura 2017 (El Salvador),Sergio Torres Stadium,Point(-88.437778 13.349722),https://www.lafirpo.com.sv/
Deportivo Petare F.C.,Venezuela,Venezuelan Primera División,Brígido Iriarte Stadium,Point(-66.941667 10.482778),http://www.deportivopetarefc.com/
Emirates Club,United Arab Emirates,UAE Pro League,Emirates Club Stadium,Point(55.928113888 25.748527777),http://www.emiratesclub.ae
Guangzhou City F.C.,People's Republic of China,Chinese Super League,Yuexiushan Stadium,Point(113.260739 23.139216),https://gzcityfc.com/
Qingdao Hainiu F.C.,People's Republic of China,Chinese Super League,Qingdao Tiantai Stadium,Point(120.344389 36.058847),http://www.zhongnengfc.com
FC Viikingit,Finland,Ykkönen,Vuosaaren urheilukenttä,Point(25.1386 60.2167),http://www.fcviikingit.com/
Boldklubben 1913,Denmark,Denmark Series,Odense Atletikstadion,Point(10.351111 55.398889),http://www.b1913.dk
Warta Poznań,Poland,Ekstraklasa,Enea Stadion,Point(16.858056 52.397222),http://www.wartapoznansa.pl/
Górnik Łęczna,Poland,I liga,Arena Lublin,Point(22.5575 51.2319),http://www.gornik.leczna.pl
LKS Nieciecza,Poland,I liga,Stadion Bruk-Bet Termaliki,Point(20.8492 50.1584),http://www.termalica.brukbet.com/
GKS Tychy,Poland,I liga,Tychy City Stadium,Point(18.990555555 50.124166666),https://gkstychy.info/
FC Vysočina Jihlava,Czech Republic,Czech First League,Stadion v Jiráskově ulici,Point(15.5735 49.402),https://www.fcvysocina.cz/
Hoang Anh Gia Lai F.C.,Vietnam,V.League 1,Pleiku Stadium,Point(108.005 13.979166666),http://www.hagl.com.vn/football/
PSM Makassar,Indonesia,Indonesian Premier League,Andi Mattalata Stadium,Point(119.415497 -5.158501),http://psmmakassar.com
Jumpasri United F.C.,Thailand,Thai League 1,Mahasarakham Province Stadium,Point(103.316117 16.15411),http://www.osotspafc.com/
Tai Po FC,People's Republic of China,Hong Kong Premier League,Tai Po Sports Ground,Point(114.162 22.4554),http://tpfc.org.hk
KF Feronikeli,Kosovo,First League,Rexhep Rexhepi Stadium,Point(20.903551 42.616446),http://feronikelifc.com
Scarborough F.C.,United Kingdom,Northern Premier League,McCain Stadium,Point(-0.418247 54.265478),http://www.scarboroughfc.com
Ferenc Puskás Football Academy,Hungary,Nemzeti Bajnokság I,Pancho Arena,Point(18.5868 47.464),https://www.pfla.hu/
Dunaújváros PASE,Hungary,Nemzeti Bajnokság III,Dunaferr Arena,Point(18.947222222 46.955555555),http://dpase.hu
