,club,country,league,venue,coordinates,website,logoImage
212,NK Slaven Belupo,Croatia,Prva HNL,Gradski stadion,16.834722 46.166111,https://nk-slaven-belupo.hr/,
213,US Orléans,France,Ligue 2,Stade de la Source,1.94169 47.84069,https://orleansloiretfoot.com/,
214,Havnar Bóltfelag,Faroe Islands,Faroe Islands Premier League,Gundadalur,-6.7811394 62.0193487,http://www.hb.fo/,
215,Excelsior Rotterdam,Netherlands,Eredivisie,Stadion Woudestein,4.520556 51.916944,https://sbvexcelsior.nl/,http://commons.wikimedia.org/wiki/Special:FilePath/Excelsior%20Rotterdam%20logo%202021.svg
216,F.C. Paços de Ferreira,Portugal,پڕێمەر لیگ,Estádio da Mata Real,-8.385581 41.271353,http://www.fcpf.pt/,
217,Sivasspor,Turkey,Turkish Süper Lig,Sivas 4 Eylül Stadium,36.984065 39.728612,http://sivasspor.org.tr/,http://commons.wikimedia.org/wiki/Special:FilePath/Sivasspor-Logo.png
218,A.S.D. Olimpia Colligiana,Italy,Serie D,Stadio Gino Manni,11.140277777 43.421944444,https://www.colligianacalcio.it/,
219,Avaí Futebol Clube,Brazil,Campeonato Brasileiro Série B,Estádio da Ressacada,-48.531667 -27.666389,http://www.avai.com.br/novo/,http://commons.wikimedia.org/wiki/Special:FilePath/Avai%20FC%20%2805-E%29%20-%20SC.svg
220,PFC Beroe Stara Zagora,Bulgaria,First Professional Football League,Beroe Stadium,25.615278 42.432778,http://www.beroe.bg/,http://commons.wikimedia.org/wiki/Special:FilePath/BeroeLogo.png
221,Canto do Rio Foot-Ball Club,Brazil,Campeonato Carioca (lower levels),Estádio Caio Martins,-43.10583333 -22.90055556,http://cantodoriofc.com/,
222,Sociedade Esportiva do Gama,Brazil,Campeonato Brasiliense,Bezerrão,-48.062222 -16.0125,http://www.segama.com.br/,
223,Olimpia Grudziądz,Poland,I liga,City Stadium Grudziądz,18.75944444 53.48805556,https://www.gksolimpia.com/,
224,Platinum Stars F.C.,South Africa,Premier Soccer League,Royal Bafokeng Stadium,27.160833333 -25.578611111,http://www.platinumstars.com,
225,Alta IF,Norway,Norwegian Second Division,Finnmarkshallen,23.2955 69.9746,http://www.altaif.no/,http://commons.wikimedia.org/wiki/Special:FilePath/AltaIF.svg
226,S.V. Zulte Waregem,Belgium,Belgian First Division A,Regenboogstadion,3.428889 50.883056,https://www.essevee.be/,
227,HNŠK Moslavina,Croatia,Četvrta HNL,Gradski stadion,16.7825 45.487778,http://www.nk-moslavina.hr/,
228,FK Mogren,Montenegro,Montenegrin First League,Stadion Lugovi,18.8507 42.2863,http://www.fkmogren.com/,
229,Breiðablik UBK,Iceland,Besta deild karla,Kópavogsvöllur,-21.896667 64.104167,https://breidablik.is/,
230,Ajman Club,United Arab Emirates,UAE Pro League,Ajman Stadium,55.450546 25.392215,http://www.ajmanclub.ae/,
231,Ermis Aradippou FC,Cyprus,Cypriot Second Division,Ammochostos Stadium,33.613207 34.929818,http://ermisfc.com.cy/,
232,Kuopion Palloseura,Finland,Veikkausliiga,Kuopio Football Stadium,27.670833 62.884444,http://www.kups.fi,
233,FK Zeta,Montenegro,Montenegrin Second League,Stadion Trešnjica,19.240556 42.328611,http://www.fkzeta.com,
234,Albirex Niigata,Japan,J1 League,Denka Big Swan Stadium,139.059166666 37.8825,https://www.albirex.co.jp/,
235,Africa Sports d'Abidjan,Ivory Coast,Ligue 1 (Ivory Coast),Felix Houphouet Boigny Stadium,-4.018417 5.32825,http://www.africasports.ci/,
236,African Stars F.C.,Namibia,Namibia Premier League,Sam Nujoma Stadium,17.090975 -22.60763611,http://www.africanstarsfc.com/,
237,NK Domžale,Slovenia,Slovenian PrvaLiga,Domžale Sports Park,14.602343 46.136967,http://www.nkdomzale.si/,
238,Oita Trinita,Japan,2019 J1 League,Ōita Stadium,131.6575 33.200556,http://www.oita-trinita.co.jp/,
239,Omiya Ardija,Japan,J1 League,NACK5 Stadium Omiya,139.633377 35.916303,https://www.ardija.co.jp/,
240,SK Sigma Olomouc,Czech Republic,Czech First League,Andrův stadion,17.248333 49.6,http://www.sigmafotbal.cz/,http://commons.wikimedia.org/wiki/Special:FilePath/SK%20Sigma%20Olomouc%20logo.png
241,Canterbury United,New Zealand,New Zealand Football Championship,English Park,172.636 -43.5092,http://www.canterburyunited.co.nz/,
242,CD Travadores,Cape Verde,Campeonato Nacional de Cabo Verde,Estádio da Várzea,-23.512222 14.916111,https://cdtravadores.wixsite.com/travadores,
243,Şanlıurfaspor,Turkey,TFF First League,Şanlıurfa GAP Stadium,38.8068 37.1478,http://www.sanliurfaspor.org,
244,Club Deportivo Quevedo,Ecuador,Ecuador Serie A,Estadio 7 de Octubre,-79.467863 -1.035628,http://www.deportivoquevedo.co.cc/,
245,FC Fredericia,Denmark,Danish 1st Division,Fredericia New Stadium,9.7286 55.57825,http://www.fcfredericia.dk,
246,FC Metalurh Donetsk,Ukraine,Premier League,Metalurh Stadium,37.798139 47.973222,http://metallurg.donetsk.ua/,
247,Gimnástica de Torrelavega,Spain,Segunda División B,Estadio El Malecón,-4.06389 43.3506,http://www.gimnasticadetorrelavega.es/,
248,Esbjerg fB,Denmark,Danish 1st Division,Blue Water Arena,8.439444 55.481944,https://www.efb.dk/,http://commons.wikimedia.org/wiki/Special:FilePath/Football%20efb%20logo.png
249,SC Steinfort,Luxembourg,Luxembourg Division of Honour,Stade Demy Steichen,5.91766 49.6647,http://www.scsteinfort.lu,
250,The New Saints F.C.,Wales,Welsh Premier League,Park Hall,-3.02631 52.8759,https://www.tnsfc.co.uk/,
251,FK Šiauliai,Lithuania,A Lyga,Savivaldybė Stadium,23.29555556 55.93666667,http://www.fcsiauliai.lt,
252,Dunfermline Athletic F.C.,Scotland,Scottish Football League First Division,East End Park,-3.441906 56.075308,http://www.dafc.co.uk/,
253,FK ŠKP Inter Dúbravka Bratislava,Slovakia,Majstrovstvá regiónu,Stadium ŠKP Inter Dúbravka,17.0497 48.1758,http://skpdubravka.lumak.net/,
254,FC Zvezda Irkutsk,Russia,Russian First League,Q4265831,104.249 52.2889,http://www.zvezda-fc.ru/,
255,Real Salt Lake,United States of America,Major League Soccer,America First Field,-111.893 40.5829,https://www.rsl.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Real%20Salt%20Lake%20tertiary%20wordmark%20color.svg
256,Patriotas Boyacá,Colombia,Categoría Primera A,Estadio La Independencia,-73.353131 5.542233,http://www.patriotasfc.com/,
257,GAIS,Sweden,Superettan,Gamla Ullevi,11.980555555 57.706111111,http://gais.se,
258,Wycombe Wanderers F.C.,England,EFL League One,Adams Park,-0.800277777 51.630555555,https://www.wwfc.com/,
259,York City F.C.,England,National League,York Community Stadium,-1.052777777 53.984722222,https://www.yorkcityfootballclub.co.uk/,
260,Maccabi Petah Tikva F.C.,Israel,Liga Leumit,HaMoshava Stadium,34.865078 32.104197,http://www.m-pt.co.il,
261,Manchester City F.C.,England,Premier League,City of Manchester Stadium,-2.200277777 53.483055555,https://www.mancity.com/,
262,SV Werder Bremen,Germany,Bundesliga,Weserstadion,8.8375 53.066389,https://www.werder.de/,http://commons.wikimedia.org/wiki/Special:FilePath/SV-Werder-Bremen-Logo.svg
263,Lech Poznań,Poland,Ekstraklasa,Enea Stadion,16.858056 52.397222,http://www.lechpoznan.pl/index.php,
264,FC Baku,Azerbaijan,Azerbaijan Premier League,Tofiq Bahramov Stadium,49.852417 40.397333,http://www.fcbaku.com,
265,Ghaxaq F.C.,Malta,Maltese Second Division,Ta' Qali National Stadium,14.415372222 35.894863888,http://ghaxaqfc.webs.com,
266,FC Ryukyu,Japan,Japan Football League,Okinawa Athletic Stadium,127.820993 26.308612,http://www.fcryukyu.com,
267,Flamurtari Vlorë,Albania,Albanian First Division,Flamurtari Stadium,19.48898611 40.45592222,http://flamurtari.al/,
268,KF Laçi,Albania,Albanian Superliga,Laçi Stadium,19.711672 41.64248,http://kflaci.com,
269,Orange County SC,United States of America,USL Championship,Championship Soccer Stadium,-117.739335 33.67446,https://www.orangecountysoccer.com/,
270,Persiba Bantul,Indonesia,Indonesian Premier League,Sultan Agung Stadium,110.380388888 -7.87525,http://persiba.net/,
271,Johor Darul Takzim F.C.,Malaysia,Malaysia Super League,Tan Sri Dato Haji Hassan Yunos Stadium,103.751372222 1.497575,http://johorsoutherntigers.com.my/,
272,Al-Ettifaq FC,Saudi Arabia,Saudi Pro League,Prince Mohamed bin Fahd Stadium,50.1141 26.4272,https://ettifaq.com/,
273,FK Kukësi,Albania,Albanian Superliga,Zeqir Ymeri Stadium,20.7003 42.1422,https://fk-kukesi.al/,
274,Al-Hilal SFC,Saudi Arabia,Saudi Pro League,King Fahd Stadium,46.839236 24.788206,http://www.alhilal.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Alhilal%20FC.png
275,Clube Náutico Capibaribe,Brazil,Campeonato Brasileiro Série A,Estádio dos Aflitos,-34.896667 -8.040556,https://www.nautico-pe.com.br/,
276,KF Skënderbeu Korçë,Albania,Albanian First Division,Skënderbeu Stadium,20.782778 40.625833,https://www.kfskenderbeu.al/,
277,Football Bourg-en-Bresse Péronnas 01,France,Championnat National,Stade Marcel-Verchère,5.2371 46.21002,https://www.fbbp01.fr/,http://commons.wikimedia.org/wiki/Special:FilePath/Football%20club%20Bourg-P%C3%A9ronnas.svg
278,Al-Mina'a SC,Iraq,Iraqi Premier League,Al Mina'a Stadium,47.778155 30.552356,https://web.facebook.com/alminaaclub1931/?fref=pb&hc_location=profile_browser&_rdc=1&_rdr,
279,S.C. Braga,Portugal,پڕێمەر لیگ,Estádio Municipal de Braga,-8.4308 41.5624,https://scbraga.pt/,
280,Sporting CP,Portugal,پڕێمەر لیگ,Estádio José Alvalade,-9.160783333 38.761194444,https://www.sporting.pt/,http://commons.wikimedia.org/wiki/Special:FilePath/Primeiro-s%C3%ADmbolo-SCP.png
281,Sporting CP,Portugal,پڕێمەر لیگ,Estádio José Alvalade,-9.160783333 38.761194444,https://www.sporting.pt/,http://commons.wikimedia.org/wiki/Special:FilePath/Sporting%20Clube%20de%20Portugal.svg
282,Sporting CP,Portugal,پڕێمەر لیگ,Estádio José Alvalade,-9.160783333 38.761194444,https://www.sporting.pt/,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Second%20Crest.jpeg
283,Sporting CP,Portugal,پڕێمەر لیگ,Estádio José Alvalade,-9.160783333 38.761194444,https://www.sporting.pt/,http://commons.wikimedia.org/wiki/Special:FilePath/Third%20Sporting%20Clube%20de%20Portugal%20Crest%20%281930-1945%29.jpeg
284,Sporting CP,Portugal,پڕێمەر لیگ,Estádio José Alvalade,-9.160783333 38.761194444,https://www.sporting.pt/,http://commons.wikimedia.org/wiki/Special:FilePath/Primeiro-s%C3%ADmbolo-SCP.png
285,Sporting CP,Portugal,پڕێمەر لیگ,Estádio José Alvalade,-9.160783333 38.761194444,https://www.sporting.pt/,http://commons.wikimedia.org/wiki/Special:FilePath/Sporting%20Clube%20de%20Portugal.svg
286,Sporting CP,Portugal,پڕێمەر لیگ,Estádio José Alvalade,-9.160783333 38.761194444,https://www.sporting.pt/,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Second%20Crest.jpeg
287,Sporting CP,Portugal,پڕێمەر لیگ,Estádio José Alvalade,-9.160783333 38.761194444,https://www.sporting.pt/,http://commons.wikimedia.org/wiki/Special:FilePath/Third%20Sporting%20Clube%20de%20Portugal%20Crest%20%281930-1945%29.jpeg
288,Mdina Knights F.C.,Malta,Maltese Third Division,Ta' Qali National Stadium,14.415372222 35.894863888,http://www.mdinaknightsfc.com/,
289,Luqa St. Andrew's F.C.,Malta,Maltese Second Division,Ta' Qali National Stadium,14.415372222 35.894863888,http://www.luqasafc.com/,
290,Zhejiang Professional F.C.,People's Republic of China,Chinese Super League,Yellow Dragon Sports Center,120.129 30.2683,https://www.zhejiangfc1998.com/,
291,Senglea Athletic F.C.,Malta,Maltese First Division,Ta' Qali National Stadium,14.415372222 35.894863888,http://www.sengleafootball.webs.com,
292,S.C. Internacional,Brazil,Campeonato Brasileiro Série A,Estádio Beira-Rio,-51.236086 -30.065614,http://www.internacional.com.br,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20do%20Sport%20Club%20Internacional.svg
293,S.C. Internacional,Brazil,Campeonato Brasileiro Série A,Estádio Beira-Rio,-51.236086 -30.065614,http://www.internacional.com.br,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20do%20Sport%20Club%20Internacional.svg
294,S.C. Internacional,Brazil,Campeonato Brasileiro Série A,Estádio Beira-Rio,-51.236086 -30.065614,http://www.internacional.com.br,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20do%20Sport%20Club%20Internacional.svg
295,Club Atlético Tigre,Argentina,Primera Nacional,Estadio José Dellagiovanna,-58.542219 -34.449333,https://catigre.com.ar/,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20del%20Club%20Atl%C3%A9tico%20Tigre.svg
296,Unión de Santa Fe,Argentina,Argentine Primera División,Estadio 15 de Abril,-60.715867 -31.631853,https://www.clubaunion.com.ar/,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20club%20Atl%C3%A9tico%20Uni%C3%B3n%20de%20santa%20fe.svg
297,Club Atlético San Martín de San Juan,Argentina,Argentine Primera División,Estadio Ingeniero Hilario Sánchez,-68.530289 -31.519847,http://www.sanmartindesanjuan.wordpress.com,
298,Botafogo F.R.,Brazil,Campeonato Brasileiro Série A,Estádio Nilton Santos,-43.292269 -22.893172,http://www.botafogo.com.br/,http://commons.wikimedia.org/wiki/Special:FilePath/Botafogo%20de%20Futebol%20e%20Regatas%20logo.svg
299,Fluminense F.C.,Brazil,Campeonato Brasileiro Série A,Maracanã Stadium,-43.230163888 -22.912166666,https://www.fluminense.com.br/site/,http://commons.wikimedia.org/wiki/Special:FilePath/Fluminense%20logo.gif
300,KS Vllaznia Shkodër,Albania,Albanian Superliga,Loro Boriçi Stadium,19.506558 42.070031,http://vllaznia.al/,
301,AFC Ajax,Netherlands,Eredivisie,Johan Cruyff Arena,4.941944444 52.314166666,https://www.ajax.nl/,
302,C.S. Herediano,Costa Rica,Liga promerica,Estadio Eladio Rosabal Cordero,-84.123065 9.99963,https://www.herediano.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20del%20Club%20Sport%20Herediano.svg
303,Persegres Gresik United,Indonesia,Liga 1,Gelora Joko Samudro Stadium,112.65075 -7.185388888,http://www.persegresfc.com,
304,Central F.C.,Trinidad and Tobago,TT Premier Football League,Ato Boldon Stadium,-61.41722222 10.42472222,http://www.centraltt.com,
305,Impuls FC Dilijan,Armenia,Armenian Premier League,Dilijan City Stadium,44.856388888 40.736944444,http://fcimpulse.com/,
306,Club Blooming,Bolivia,Primera División de Bolivia,Estadio Ramón Tahuichi Aguilera,-63.183873 -17.796067,https://www.clubblooming.bo,
307,FK Spartak Subotica,Serbia,Serbian SuperLiga,Subotica City Stadium,19.676958 46.081781,https://www.fkspartak.com/,
308,Ipatinga Futebol Clube,Brazil,Campeonato Brasileiro Série C,Arena do Jacaré,-44.222022 -19.478794,http://www.ipatingafc.com.br,http://commons.wikimedia.org/wiki/Special:FilePath/Ipatingafc.jpg
309,VfL Wolfsburg,Germany,Bundesliga,Volkswagen Arena,10.803889 52.431944,https://www.vfl-wolfsburg.de/,http://commons.wikimedia.org/wiki/Special:FilePath/VfL%20Wolfsburg%20Logo.png
310,VfL Wolfsburg,Germany,Bundesliga,Volkswagen Arena,10.803889 52.431944,https://www.vfl-wolfsburg.de/,http://commons.wikimedia.org/wiki/Special:FilePath/VfL%20Wolfsburg%20Logo.png
311,Borussia Mönchengladbach,Germany,Bundesliga,Borussia-Park,6.385463888 51.174583333,https://www.borussia.de/,http://commons.wikimedia.org/wiki/Special:FilePath/Borussia%20M%C3%B6nchengladbach%20logo.svg
312,Hertha BSC,Germany,Bundesliga,Berlin Olympic Stadium,13.239444444 52.514722222,https://www.herthabsc.de,http://commons.wikimedia.org/wiki/Special:FilePath/Hertha%20BSC%20Logo%202012.svg
313,Bayer 04 Leverkusen,Germany,Bundesliga,BayArena,7.002205555 51.038255555,https://www.bayer04.de/,
314,1. FC Köln,Germany,Bundesliga,RheinEnergie Stadion,6.875 50.933611,https://fc.de/,http://commons.wikimedia.org/wiki/Special:FilePath/1.%20FC%20Koeln%20Logo%202014%E2%80%93.svg
315,1. FSV Mainz 05,Germany,Bundesliga,Mewa Arena,8.224167 49.984167,https://www.mainz05.de/,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Mainz%2005.svg
316,Arminia Bielefeld,Germany,2. Bundesliga,Bielefelder Alm,8.516944 52.031389,https://www.arminia-bielefeld.de/,
317,Karlsruher SC,Germany,2. Bundesliga,Wildparkstadion,8.413055555 49.02,https://www.ksc.de/,http://commons.wikimedia.org/wiki/Special:FilePath/Karlsruher%20SC%20Logo%202.svg
318,Karlsruher SC,Germany,2. Bundesliga,Wildparkstadion,8.413055555 49.02,https://www.ksc.de/,http://commons.wikimedia.org/wiki/Special:FilePath/Karlsruher%20SC%20Logo%202.svg
319,VfL Bochum,Germany,Bundesliga,Ruhrstadion,7.236489 51.489944,https://www.vfl-bochum.de/,http://commons.wikimedia.org/wiki/Special:FilePath/VfL%20Bochum%20logo.svg
320,SC Freiburg,Germany,Bundesliga,Dreisamstadion,7.893056 47.988889,https://www.scfreiburg.com/,
321,FC Energie Cottbus,Germany,Regionalliga Nordost,Stadion der Freundschaft,14.345556 51.751389,http://www.fcenergie.de/,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Energie%20Cottbus.svg
322,CF Fuenlabrada,Spain,Primera Federación,Estadio Fernando Torres,-3.8260961 40.2917128,https://www.cffuenlabrada.es/,
323,Phoenix Rising FC,United States of America,USL Championship,Scottsdale Stadium,-111.921111 33.488333,https://www.phxrisingfc.com/,
324,SpVgg Landshut,Germany,Bayernliga Süd,Q1384007,12.1383 48.5322,http://spvgg-landshut.de,http://commons.wikimedia.org/wiki/Special:FilePath/Spvgg%20Landshut%20Logo.png
325,KV Mechelen,Belgium,Belgian First Division A,AFAS Stadion KV Mechelen,4.486389 51.037222,https://www.kvmechelen.be/,
326,Metallurg Bekabad,Uzbekistan,Uzbekistan Super League,Metallurg Bekabad Stadium,69.27919 40.213367,http://metallurg-pfc.uz,
327,Al-Shorta Baghdad,Iraq,Iraqi Premier League,Al-Shaab Stadium,44.435438 33.324906,https://www.alshortasc.com/,
328,Luftëtari Gjirokastër,Albania,Albanian Superliga,Subi Bakiri Stadium,20.1381 40.0812,http://ks-luftetari.weebly.com,
329,Dalkurd FF,Sweden,Superettan,Domnarvsvallen,15.434166666 60.495,http://www.dalkurd.se/,
330,Bontang FC,Indonesia,Indonesian Premier League,Mulawarman Stadium,117.461239 0.143111,http://pspkt.pupukkaltim.com/,
331,Al-Salmiya SC,Kuwait,Kuwaiti Premier League,Thamir Stadium,48.088333333 29.340833333,http://alsalmiyaclub.com/,
332,RC Strasbourg,France,Ligue 1,Stade de la Meinau,7.75738 48.55942,http://www.rcstrasbourgalsace.fr/,http://commons.wikimedia.org/wiki/Special:FilePath/Racing%20Club%20de%20Strasbourg%20contre%20Racing%20Lens%20d%C3%A9cembre%202016%20.jpg
333,CD San José,Bolivia,Primera División de Bolivia,Estadio Jesús Bermúdez,-67.111564 -17.946211,http://www.sanjosefc.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20de%20San%20Jos%C3%A9.png
334,C.D. Jorge Wilstermann,Bolivia,Primera División de Bolivia,Estadio Jesús Bermúdez,-67.111564 -17.946211,http://www.wilstermann.com.bo,
335,Oriente Petrolero,Bolivia,Primera División de Bolivia,Estadio Ramón Tahuichi Aguilera,-63.183873 -17.796067,https://www.orientepetrolero.com.bo/,
336,Club Aurora,Bolivia,Nacional B 2016-17 (Bolivia),Estadio Félix Capriles,-66.16183 -17.379303,http://www.clubaurora.com.bo,http://commons.wikimedia.org/wiki/Special:FilePath/Club%20Aurora.png
